taxid,name_old,name_new
1762,Mycobacteriaceae,Mycobacteriaceae
1763,Mycobacterium,Mycobacterium
1764,Mycobacterium avium,Mycobacterium avium
1765,Mycobacterium bovis,Mycobacterium tuberculosis variant bovis
1766,Mycobacterium fortuitum,Mycolicibacterium fortuitum
1767,Mycobacterium intracellulare,Mycobacterium intracellulare
1768,Mycobacterium kansasii,Mycobacterium kansasii
1769,Mycobacterium leprae,Mycobacterium leprae
1770,Mycobacterium avium subsp. paratuberculosis,Mycobacterium avium subsp. paratuberculosis
1771,Mycobacterium phlei,Mycolicibacterium phlei
1772,Mycobacterium smegmatis,Mycolicibacterium smegmatis
1773,Mycobacterium tuberculosis,Mycobacterium tuberculosis
1774,Mycobacterium chelonae,Mycobacteroides chelonae
1775,Mycobacterium cookii,Mycobacterium cookii
1776,Mycobacterium flavescens,Mycolicibacterium flavescens
1777,Mycobacterium gastri,Mycobacterium gastri
1778,Mycobacterium gordonae,Mycobacterium gordonae
1779,Mycobacterium komossense,Mycolicibacterium komossense
1780,Mycobacterium malmoense,Mycobacterium malmoense
1781,Mycobacterium marinum,Mycobacterium marinum
1782,Mycobacterium nonchromogenicum,Mycolicibacter nonchromogenicus
1783,Mycobacterium scrofulaceum,Mycobacterium scrofulaceum
1784,Mycobacterium simiae,Mycobacterium simiae
1785,Mycobacterium sp.,Mycobacterium sp.
1786,Mycobacterium sphagni,Mycolicibacterium sphagni
1787,Mycobacterium szulgai,Mycobacterium szulgai
1788,Mycobacterium terrae,Mycolicibacter terrae
1789,Mycobacterium xenopi,Mycobacterium xenopi
1790,Mycobacterium asiaticum,Mycobacterium asiaticum
1791,Mycobacterium aurum,Mycolicibacterium aurum
1792,Mycobacterium chitae,Mycolicibacterium chitae
1793,Mycobacterium fallax,Mycolicibacterium fallax
1794,Mycobacterium gadium,Mycolicibacterium gadium
1795,Mycobacterium neoaurum,Mycolicibacterium neoaurum
1796,Mycobacterium senegalense,Mycolicibacterium senegalense
1797,Mycobacterium thermoresistibile,Mycolicibacterium thermoresistibile
1798,Mycobacterium triviale,Mycolicibacillus trivialis
1799,Mycobacterium aichiense,Mycolicibacterium aichiense
1800,Mycobacterium chubuense,Mycolicibacterium chubuense
1801,Mycobacterium diernhoferi,Mycolicibacterium diernhoferi
1802,Mycobacterium farcinogenes,Mycolicibacterium farcinogenes
1804,Mycobacterium gilvum,Mycolicibacterium gilvum
1806,Mycobacterium microti,Mycobacterium tuberculosis variant microti
1807,Mycobacterium obuense,Mycolicibacterium obuense
1809,Mycobacterium ulcerans,Mycobacterium ulcerans
1810,Mycobacterium vaccae,Mycolicibacterium vaccae
